sample_id,classe,run_id,log_path,timestamp
027,teste,32663796419,data/raw_logs/teste/sample_027.log,2026-08-23T17:15:20-03:00
028,teste,32663849896,data/raw_logs/teste/sample_028.log,2026-08-23T17:16:14-03:00
029,teste,32663896464,data/raw_logs/teste/sample_029.log,2026-08-23T17:17:13-03:00
030,teste,32663945264,data/raw_logs/teste/sample_030.log,2026-08-23T17:18:12-03:00
001,manifesto_invalido,32679310795,data/raw_logs/manifesto_invalido/sample_001.log,2026-08-23T22:17:47-03:00
002,manifesto_invalido,32679386070,data/raw_logs/manifesto_invalido/sample_002.log,2026-08-23T22:19:30-03:00
003,manifesto_invalido,32679426915,data/raw_logs/manifesto_invalido/sample_003.log,2026-08-23T22:20:35-03:00
004,manifesto_invalido,32679483432,data/raw_logs/manifesto_invalido/sample_004.log,2026-08-23T22:21:42-03:00
005,manifesto_invalido,32679538852,data/raw_logs/manifesto_invalido/sample_005.log,2026-08-23T22:22:42-03:00
006,manifesto_invalido,32679589122,data/raw_logs/manifesto_invalido/sample_006.log,2026-08-23T22:23:46-03:00
007,manifesto_invalido,32679643604,data/raw_logs/manifesto_invalido/sample_007.log,2026-08-23T22:24:49-03:00
008,manifesto_invalido,32679700020,data/raw_logs/manifesto_invalido/sample_008.log,2026-08-23T22:25:53-03:00
009,manifesto_invalido,32679757665,data/raw_logs/manifesto_invalido/sample_009.log,2026-08-23T22:26:57-03:00
010,manifesto_invalido,32679811907,data/raw_logs/manifesto_invalido/sample_010.log,2026-08-23T22:28:00-03:00
011,manifesto_invalido,32679866773,data/raw_logs/manifesto_invalido/sample_011.log,2026-08-23T22:29:04-03:00
012,manifesto_invalido,32679922579,data/raw_logs/manifesto_invalido/sample_012.log,2026-08-23T22:30:09-03:00
013,manifesto_invalido,32679979012,data/raw_logs/manifesto_invalido/sample_013.log,2026-08-23T22:31:27-03:00
014,manifesto_invalido,32680052095,data/raw_logs/manifesto_invalido/sample_014.log,2026-08-23T22:32:42-03:00
015,manifesto_invalido,32680123179,data/raw_logs/manifesto_invalido/sample_015.log,2026-08-23T22:33:46-03:00
